周次,开始日期,结束日期,文档数,最佳主题数,困惑度,轮廓系数,训练时间(秒)
第1周,2025-11-07,2025-11-14,100,3,12629.30041030273,0.9709200859069824,4.190101861953735
第2周,2025-11-14,2025-11-21,150,8,7487.003443620752,0.9804368019104004,6.054681062698364
第3周,2025-11-21,2025-11-28,454,8,5092.42156444757,0.9687488675117493,12.242976188659668
第4周,2025-11-28,2025-12-05,4490,8,4412.717016503788,0.6226209998130798,97.21842789649963
