主题个数,困惑度,e^(-log(Perplexity))
2,5914.981365723769,0.000169062240127216
4,5292.5332410283745,0.00018894543585439876
6,5136.985975409057,0.0001946666790189884
8,4816.477103169482,0.0002076206278115493
10,4583.155394175312,0.00021819028900283208
12,4742.9875135649945,0.00021083757803283046
14,4842.77654045013,0.0002064931122977339
