主题个数,困惑度,e^(-log(Perplexity))
2,6203.898117856798,0.00016118897844593562
4,5322.083387907254,0.00018789634192357502
6,5603.786287472635,0.00017845077394109727
8,5623.3044987025705,0.00017783138014858054
10,5558.068678309626,0.00017991861163977729
12,5580.885742761762,0.00017918302686934046
14,5602.753890968219,0.0001784836563340798
16,5515.777610733377,0.00018129809984616843
18,5646.665064707641,0.0001770956818831215
20,5712.895758311968,0.00017504257775840767
