K值,轮廓系数,Calinski-Harabasz指数,Davies-Bouldin指数,惯性,训练时间(秒)
3,0.8625543117523193,1224.2154541015625,0.2484987636409968,1569153.25,1.0117948055267334
4,0.590903639793396,1328.9033203125,0.8676308575585556,1306752.75,2.257749319076538
5,0.5832587480545044,1108.61865234375,1.582326975249724,1246005.75,0.9434680938720703
6,0.43814733624458313,964.7674560546875,1.604186623331049,1197562.75,0.7152609825134277
8,0.48751822113990784,791.1873168945312,1.5893006519352868,1117758.75,0.7165091037750244
10,0.43764418363571167,694.03271484375,1.5476619820579587,1048468.875,0.7969191074371338
12,0.45722827315330505,616.160400390625,1.679548927847143,1001764.5,0.8182458877563477
15,0.3430648148059845,538.9318237304688,1.7865298998025592,941168.125,1.2197420597076416
