周次,文档索引,日期,标签,主要主题,主题概率,主题0概率,主题1概率,主题2概率,主题3概率,主题4概率,主题5概率,主题6概率,主题7概率
1,5010,2025-11-09 09:26:54,people,1,0.9960727,0.0019506032,0.9960727,0.001976614,,,,,
1,5011,2025-11-09 19:40:40,people,1,0.99662507,0.0016771961,0.99662507,0.0016977803,,,,,
1,5012,2025-11-09 00:11:07,people,1,0.9966714,0.0016499553,0.9966714,0.0016786698,,,,,
1,5013,2025-11-09 10:36:19,people,1,0.97060096,0.014527726,0.97060096,0.014871349,,,,,
1,5014,2025-11-09 11:32:22,people,1,0.99811095,0.0009346584,0.99811095,0.00095439586,,,,,
1,5015,2025-11-09 13:09:10,people,1,0.9971642,0.0014068274,0.9971642,0.0014289926,,,,,
1,5016,2025-11-07 09:03:11,people,2,0.99288404,0.0033790832,0.00373687,0.99288404,,,,,
1,5017,2025-11-07 15:29:11,people,1,0.99818754,0.0008869059,0.99818754,0.0009255236,,,,,
1,5018,2025-11-08 12:42:50,people,1,0.9968305,0.0015682785,0.9968305,0.0016011646,,,,,
1,5019,2025-11-07 11:00:36,people,1,0.99786115,0.001064598,0.99786115,0.001074301,,,,,
1,5020,2025-11-07 08:48:17,people,2,0.93517256,0.0006094291,0.06421804,0.93517256,,,,,
1,5021,2025-11-08 10:24:57,people,1,0.9978032,0.0010850813,0.9978032,0.0011117362,,,,,
1,5022,2025-11-08 14:15:04,people,1,0.99627304,0.0018401236,0.99627304,0.001886826,,,,,
1,5023,2025-11-07 08:36:39,people,2,0.8838404,0.0016454305,0.11451423,0.8838404,,,,,
1,5076,2025-11-12 15:12:41,people,1,0.99789244,0.0010419005,0.99789244,0.0010656466,,,,,
1,5077,2025-11-13 08:44:42,people,1,0.997396,0.0012949737,0.997396,0.0013090965,,,,,
1,5148,2025-11-14 06:01:42,people,2,0.85911685,0.00041374174,0.1404694,0.85911685,,,,,
1,5149,2025-11-13 10:51:29,people,1,0.983854,0.007787336,0.983854,0.008358655,,,,,
1,5150,2025-11-13 16:28:37,people,1,0.98991233,0.0049941367,0.98991233,0.005093559,,,,,
1,5151,2025-11-13 15:53:31,people,1,0.99892765,0.00053182174,0.99892765,0.000540512,,,,,
1,5152,2025-11-13 17:17:44,people,1,0.99873394,0.00062794465,0.99873394,0.0006381681,,,,,
1,5153,2025-11-13 16:55:38,people,1,0.99898344,0.0005001,0.99898344,0.00051640236,,,,,
1,5154,2025-11-13 10:51:37,people,2,0.99671876,0.001563021,0.001718241,0.99671876,,,,,
1,5155,2025-11-13 10:51:45,people,1,0.99528426,0.0023256522,0.99528426,0.0023900855,,,,,
1,5156,2025-11-12 08:35:14,people,1,0.9983897,0.0007972325,0.9983897,0.00081304536,,,,,
1,5157,2025-11-13 08:32:27,people,1,0.9956223,0.0021601887,0.9956223,0.0022175754,,,,,
1,5158,2025-11-12 08:38:39,people,1,0.9983792,0.0008029321,0.9983792,0.0008178907,,,,,
1,5159,2025-11-13 08:38:09,people,1,0.9990085,0.00048490008,0.9990085,0.0005066074,,,,,
1,5160,2025-11-11 14:50:41,people,2,0.99603105,0.0018316865,0.0021372994,0.99603105,,,,,
1,5161,2025-11-12 08:28:45,people,2,0.99658775,0.0014877449,0.0019244867,0.99658775,,,,,
1,5162,2025-11-12 08:06:52,people,1,0.9974676,0.0012550532,0.9974676,0.0012773356,,,,,
1,5163,2025-11-12 08:28:56,people,1,0.9872432,0.006197704,0.9872432,0.0065591107,,,,,
1,5164,2025-11-10 08:32:50,people,1,0.99026465,0.00484356,0.99026465,0.0048917383,,,,,
1,5165,2025-11-11 14:06:37,people,1,0.99665785,0.0016622384,0.99665785,0.0016799049,,,,,
1,5166,2025-11-11 08:09:21,people,1,0.99839616,0.00079055276,0.99839616,0.00081329804,,,,,
1,5167,2025-11-10 10:37:13,people,1,0.99826425,0.0008549088,0.99826425,0.0008807994,,,,,
1,5168,2025-11-10 09:12:32,people,1,0.9970015,0.0014932539,0.9970015,0.0015052644,,,,,
1,5169,2025-11-11 09:12:19,people,1,0.99566793,0.00215428,0.99566793,0.0021778247,,,,,
1,5170,2025-11-07 14:33:35,people,1,0.9953269,0.0023128276,0.9953269,0.0023602182,,,,,
1,5171,2025-11-07 14:49:20,people,1,0.99849945,0.00074488804,0.99849945,0.00075566315,,,,,
1,5172,2025-11-08 20:34:52,people,1,0.9945207,0.0027016753,0.9945207,0.0027775702,,,,,
1,5173,2025-11-08 09:10:37,people,1,0.99888706,0.0005510666,0.99888706,0.0005619498,,,,,
1,5174,2025-11-11 14:50:32,people,1,0.9979867,0.0009922859,0.9979867,0.0010210081,,,,,
1,5175,2025-11-13 07:48:49,people,1,0.9986401,0.0006638514,0.9986401,0.00069606147,,,,,
1,5176,2025-11-13 10:35:00,people,1,0.99808586,0.00093506335,0.99808586,0.0009790692,,,,,
1,5178,2025-11-12 06:22:53,people,1,0.9980081,0.0009731344,0.9980081,0.0010188237,,,,,
1,5182,2025-11-07 08:58:30,people,1,0.99880826,0.0005887764,0.99880826,0.0006029788,,,,,
1,5183,2025-11-07 17:16:08,people,1,0.9970267,0.0014780187,0.9970267,0.0014953167,,,,,
2,4709,2025-11-20 09:32:20,people,1,0.9840827,0.0022738972,0.9840827,0.0022738972,0.002273897174745798,0.002273897174745798,0.002273897174745798,0.002273897174745798,0.002273897174745798
2,4712,2025-11-19 10:28:56,people,1,0.99157983,0.0012028802,0.99157983,0.0012028802,0.00120288017205894,0.00120288017205894,0.0012028802884742618,0.0012028799392282963,0.00120288017205894
2,4713,2025-11-19 12:42:20,people,1,0.99365276,0.0009067524,0.99365276,0.0009067524,0.000906752422451973,0.000906752422451973,0.000906752422451973,0.000906752364244312,0.000906752422451973
2,4715,2025-11-20 08:21:05,people,1,0.98653,0.0019242171,0.98653,0.0019242169,0.001924217096529901,0.0019242168636992574,0.001924217096529901,0.0019246540032327175,0.0019242168636992574
2,4716,2025-11-19 19:51:13,people,1,0.9960675,0.0005617443,0.9960675,0.0005617443,0.0005617443239316344,0.0005617443239316344,0.000561913475394249,0.0005618198774755001,0.0005617443239316344
2,4717,2025-11-20 08:39:40,people,1,0.99625486,0.00053502235,0.99625486,0.0005350223,0.0005350223509594798,0.0005350223509594798,0.0005350222927518189,0.0005350222927518189,0.0005350222927518189
2,4718,2025-11-20 08:23:40,people,1,0.9960499,0.0005642674,0.9960499,0.0005642674,0.0005642673932015896,0.0005642673932015896,0.0005644381744787097,0.0005643435870297253,0.0005642672767862678
2,4721,2025-11-19 15:41:13,people,1,0.9840838,0.0022737463,0.9840838,0.0022737463,0.0022737463004887104,0.0022737463004887104,0.002273746533319354,0.0022737463004887104,0.0022737463004887104
2,4722,2025-11-20 06:00:01,people,1,0.983787,0.0023161427,0.983787,0.0023161427,0.002316142665222287,0.002316142665222287,0.002316142898052931,0.002316142665222287,0.002316142665222287
2,4723,2025-11-19 08:24:31,people,1,0.99764645,0.0003362208,0.99764645,0.0003362208,0.00033622083719819784,0.0003362208080943674,0.00033622083719819784,0.000336233526468277,0.0003362208080943674
